"Stkcd","Accper","FixedAssets","TotalAssets","RDExpenses"
"000001","2000-12-31","1587091454.0000","67227499769.0000",""
"000001","2001-12-31","1763256906.0000","120126983351.0000",""
"000001","2002-12-31","2380640202.0000","166166379400.0000",""
"000001","2003-12-31","2388062129.0000","192851003723.0000",""
"000001","2004-12-31","3243569329.0000","204286424020.0000",""
"000001","2005-12-31","2417722573.0000","229216415808.0000",""
"000001","2006-12-31","1994379072.0000","260576263238.0000",""
"000001","2007-12-31","1554278000.0000","352539361000.0000",""
"000001","2008-12-31","1674924000.0000","474440173000.0000",""
"000001","2009-12-31","1714461000.0000","587811034000.0000",""
"000001","2010-12-31","2392293000.0000","727207076000.0000",""
"000001","2011-12-31","3524265000.0000","1258176944000.0000",""
"000001","2012-12-31","3536443000.0000","1606536760000.0000","0.0000"
"000001","2013-12-31","3694000000.0000","1891741000000.0000","0.0000"
"000001","2014-12-31","3812000000.0000","2186459000000.0000","0.0000"
"000001","2015-12-31","4788000000.0000","2507149000000.0000","0.0000"
"000001","2016-12-31","8316000000.0000","2953434000000.0000",""
"000001","2017-12-31","8036000000.0000","3248474000000.0000",""
"000001","2018-12-31","10899000000.0000","3418592000000.0000",""
"000001","2019-12-31","11092000000.0000","3939070000000.0000",""
"000001","2020-12-31","10893000000.0000","4468514000000.0000",""
"000002","2000-12-31","338282389.9700","5622247214.9500",""
"000002","2001-12-31","288311392.0600","6482911630.8200",""
"000002","2002-12-31","348658465.0400","8215822308.3000",""
"000002","2003-12-31","268024928.5900","10561040095.7000",""
"000002","2004-12-31","231425594.5500","15534422529.7600",""
"000002","2005-12-31","216704102.5100","21992392061.3000",""
"000002","2006-12-31","507019034.5700","48507917570.6900",""
"000002","2007-12-31","575205554.9700","100094467908.2900",""
"000002","2008-12-31","1265332766.1800","119236579721.0900",""
"000002","2009-12-31","1355977020.4800","137608554829.3900",""
"000002","2010-12-31","1219581927.4700","215637551741.8300",""
"000002","2011-12-31","1595862733.9500","296208440030.0500",""
"000002","2012-12-31","1612257202.2200","378801615075.3700","0.0000"
"000002","2013-12-31","2129767863.3600","479205323490.5400","0.0000"
"000002","2014-12-31","2308351663.1300","508408755415.6500","0.0000"
"000002","2015-12-31","4917479160.8800","611295567689.2900","0.0000"
"000002","2016-12-31","6810793073.5800","830674213924.1400",""
"000002","2017-12-31","7098808083.4000","1165346917804.5500",""
"000002","2018-12-31","11533798650.3100","1528579356474.8100",""
"000002","2019-12-31","12399838267.2800","1729929450401.2300",""
"000003","2000-12-31","688802685.3200","2494445663.7100",""
"000003","2001-12-31","230351931.9100","1211942318.3500",""
"000004","2000-12-31","73840878.9400","508206707.1200",""
"000004","2001-12-31","47180586.0200","222008804.7900",""
"000004","2002-12-31","45171069.6300","263614606.2500",""
"000004","2003-12-31","43164571.1600","237875156.0400",""
"000004","2004-12-31","38663116.4300","214270248.7700",""
"000004","2005-12-31","32543140.1200","155868770.9100",""
"000004","2006-12-31","33904871.9000","204304637.7200",""
"000004","2007-12-31","30411367.7800","169822593.9500","0.0000"
"000004","2008-12-31","28851673.3900","167810585.2400","0.0000"
"000004","2009-12-31","26518343.1100","230512058.6900","0.0000"
"000004","2010-12-31","24366790.8100","184219435.7000","0.0000"
"000004","2011-12-31","36619675.4600","196307219.4800","0.0000"
"000004","2012-12-31","46524222.0100","192913568.8600","0.0000"
"000004","2013-12-31","41083566.4000","242152079.6100","0.0000"
"000004","2014-12-31","37821203.9400","338282581.1200","0.0000"
"000004","2015-12-31","37782699.4000","398673507.1400","0.0000"
"000004","2016-12-31","33465285.5800","223716293.0100",""
"000004","2017-12-31","31220863.8000","268844295.6400",""
"000004","2018-12-31","990258.4300","351177470.1700",""
"000004","2019-12-31","2229822.4100","1494490266.2400",""
"000005","2000-12-31","366165081.3000","2020667029.1600",""
"000005","2001-12-31","355057481.5700","1924315014.2000",""
"000005","2002-12-31","397515476.6000","1820548815.5300",""
"000005","2003-12-31","364174679.6500","1780802380.0200",""
"000005","2004-12-31","252875113.8300","1810609954.8300",""
"000005","2005-12-31","236164005.2100","1643873314.8800",""
"000005","2006-12-31","292310465.9200","1528293791.9100",""
"000005","2007-12-31","89103730.3200","1457023884.5900","0.0000"
"000005","2008-12-31","81403929.1300","1389031247.9600","0.0000"
"000005","2009-12-31","86487904.8300","1319203895.5500","0.0000"
"000005","2010-12-31","77806351.0600","1293608601.2800","0.0000"
"000005","2011-12-31","26237595.8400","1260586163.1900","0.0000"
"000005","2012-12-31","24058884.1800","1319702418.0100","0.0000"
"000005","2013-12-31","24781335.9600","1188653949.1800","0.0000"
"000005","2014-12-31","25921573.3900","1366663807.8600","0.0000"
"000005","2015-12-31","37251306.3200","2194008790.3900","0.0000"
"000005","2016-12-31","37587055.3500","2527235374.1000",""
"000005","2017-12-31","32886986.2700","2912099984.2800",""
"000005","2018-12-31","28128321.3500","3121423378.8100",""
"000005","2019-12-31","30808639.1300","3031840976.3400",""
"000006","2000-12-31","273661120.7400","3787811194.4300",""
"000006","2001-12-31","192911864.7100","4218937390.0900",""
"000006","2002-12-31","188559704.1400","4490880117.3300",""
"000006","2003-12-31","183508421.0400","3968241655.7600",""
"000006","2004-12-31","223410101.5400","4020543824.7400",""
"000006","2005-12-31","104774193.7200","2553071988.3700",""
"000006","2006-12-31","90453874.8500","2918925351.0400",""
"000006","2007-12-31","32072195.5100","5568431161.8300","0.0000"
"000006","2008-12-31","28116171.9300","5921442329.8300","0.0000"
"000006","2009-12-31","10203678.8600","7272027535.1500","0.0000"
"000006","2010-12-31","7429962.5000","8568302263.1800","0.0000"
"000006","2011-12-31","6963236.7100","8321974063.4000","0.0000"
"000006","2012-12-31","5390949.4500","9343430259.5700","0.0000"
"000006","2013-12-31","5397009.3300","9968160024.9900","0.0000"
"000006","2014-12-31","4186309.4800","11753217519.1900","0.0000"
"000006","2015-12-31","3374464.8000","12703504209.2600","0.0000"
"000006","2016-12-31","2841290.6800","13170385529.9600","0.0000"
"000006","2017-12-31","2928689.0700","13139931309.2500",""
"000006","2018-12-31","6677730.1900","13536728184.7900",""
"000006","2019-12-31","13144374.3800","15745320850.6500",""
"000007","2000-12-31","205641345.0200","951889239.5500",""
"000007","2001-12-31","180553749.1500","1102173563.9700",""
"000007","2002-12-31","453319071.0300","1150916322.0700",""
"000007","2003-12-31","479297293.8800","1117684181.1000",""
"000007","2004-12-31","429821548.1200","1048420272.2300",""
"000007","2005-12-31","396939560.2900","854288325.1200",""
"000007","2006-12-31","445669801.1600","805877586.4300",""
"000007","2007-12-31","173536919.4500","737182927.6000","0.0000"
"000007","2008-12-31","104585099.2500","610650389.6400","0.0000"
"000007","2009-12-31","99488019.0400","363271589.7500","0.0000"
"000007","2010-12-31","92952758.3400","332421568.0900","0.0000"
"000007","2011-12-31","88661889.8300","362415187.9300","0.0000"
"000007","2012-12-31","85168886.2100","789680006.5000","0.0000"
"000007","2013-12-31","82333189.6800","657511920.7700","0.0000"
"000007","2014-12-31","76908719.0000","680925246.9600","0.0000"
"000007","2015-12-31","72012821.9400","480364514.3300","0.0000"
"000007","2016-12-31","69053134.6900","514367695.0800",""
"000007","2017-12-31","69828221.5400","442675592.9600",""
"000007","2018-12-31","66456511.0500","544709995.4700",""
"000007","2019-12-31","60078260.2800","533693420.8900",""
"000008","2000-12-31","60835671.0000","290828409.0000",""
"000008","2001-12-31","60849811.4100","107596720.1400",""
"000008","2002-12-31","55703099.7000","70616135.8400",""
"000008","2003-12-31","55016950.2300","60455170.6000",""
"000008","2004-12-31","41902640.8200","90797725.7300",""
"000008","2005-12-31","63918371.3600","90639371.8400",""
"000008","2006-12-31","38619343.4800","76838064.1800",""
"000008","2007-12-31","6222274.9700","79087425.0700","0.0000"
"000008","2008-12-31","5675597.7200","78914423.1100","0.0000"
