"Stkcd","Stknme","Listdt","Estbdt"
"000001","深发展A","1991-04-03","1987-12-22"
"000002","深万科A","1991-01-29","1984-05-30"
"000003","深金田A","1991-07-03","1988-11-09"
"000004","深安达A","1991-01-14","1986-05-05"
"000005","深原野A","1990-12-10","1987-07-23"
"000006","深振业A","1992-04-27","1989-05-25"
"000007","深达声","1992-04-13","1988-11-21"
"000008","深锦兴A","1992-05-07","1989-10-11"
"000009","深宝安A","1991-06-25","1983-07-01"
"000010","深华新A","1995-10-27","1988-12-31"
"000011","深物业A","1992-03-30","1983-01-17"
"000012","深南坡A","1992-02-28","1984-09-10"
"000013","深石化A","1992-05-06","1992-03-18"
"000014","深华源A","1992-06-02","1992-04-21"
"000015","深中浩A","1992-06-25","1992-05-08"
"000016","深康佳A","1992-03-27","1992-03-06"
"000017","深中华A","1992-03-31","1992-03-12"
"000018","深中冠A","1992-06-16","1992-05-09"
"000019","深深宝A","1992-10-12","1992-08-06"
"000020","深华发A","1992-04-28","1992-03-30"
"000021","深科技A","1994-02-02","1993-12-29"
"000022","深赤湾A","1993-05-05","1993-03-21"
"000023","深天地A","1993-04-29","1993-03-28"
"000024","深招港A","1993-06-07","1993-04-10"
"000025","深特力A","1993-06-21","1993-04-18"
"000026","飞亚达A","1993-06-03","1993-04-18"
"000027","深能源A","1993-09-03","1993-06-27"
"000028","深益力A","1993-08-09","1993-07-03"
"000029","深深房A","1993-09-15","1993-08-15"
"000030","莱英达A","1993-09-29","1993-08-28"
"000031","深宝恒A","1993-10-08","1993-09-26"
"000032","深桑达A","1993-10-28","1993-09-26"
"000033","深新都A","1994-01-03","1990-03-08"
"000034","深华宝A","1994-05-09","1982-06-01"
"000035","中科健A","1994-04-08","1984-12-31"
"000036","深惠中","1994-06-17","1994-01-29"
"000037","深南电A","1994-07-01","1993-11-25"
"000038","深大通A","1994-08-08","1987-06-24"
"000039","深中集A","1994-04-08","1980-01-14"
"000040","深鸿基A","1994-08-08","1993-12-30"
"000042","深长城A","1994-09-21","1994-09-13"
"000043","深南光A","1994-09-28","1994-09-24"
"000045","深纺织A","1994-08-15","1994-08-06"
"000046","南油物业","1994-09-12","1989-01-04"
"000047","深中侨A","1994-10-21","1994-09-28"
"000048","康达尔A","1994-11-01","1994-09-21"
"000049","深万山A","1995-03-20","1995-02-18"
"000050","深天马A","1995-03-15","1995-02-26"
"000055","深方大A","1996-04-15","1994-03-31"
"000056","深国商","1996-07-08","1993-03-18"
"000058","深赛格","1996-12-26","1996-07-16"
"000059","辽通化工","1997-01-30","1997-01-18"
"000060","有色中金","1997-01-23","1994-06-06"
"000061","农产品","1997-01-10","1994-01-19"
"000062","深圳华强","1997-01-30","1994-01-19"
"000063","中兴通讯","1997-11-18","1997-11-11"
"000065","深圳西林","1998-06-05","1998-05-14"
"000066","长城电脑","1997-06-26","1997-06-20"
"000068","赛格中康","1997-06-11","1997-06-06"
"000069","华侨城A","1997-09-10","1997-09-02"
"000070","特发信息","2000-05-11","1999-07-29"
"000078","海王生物","1998-12-18","1998-09-01"
"000088","盐田港A","1997-07-28","1997-07-21"
"000089","深圳机场","1998-04-20","1998-04-10"
"000090","深天健","1999-07-21","1993-12-06"
"000096","广聚能源","2000-07-24","1999-02-18"
"000099","中信海直","2000-07-31","1999-02-11"
"000100","TCL集团","2004-01-30","2002-04-19"
"000150","麦科特","2000-08-07","1993-02-19"
"000151","中成股份","2000-09-06","1999-03-01"
"000153","新力药业","2000-09-20","1997-08-30"
"000155","川化股份","2000-09-26","1997-10-20"
"000156","安塑股份","2000-09-06","1994-06-30"
"000157","中联重科","2000-10-12","1999-08-31"
"000158","常山股份","2000-07-24","1998-12-29"
"000159","国际实业","2000-09-26","1999-03-28"
"000166","申万宏源","2015-01-26","1996-09-16"
"000301","丝绸股份","2000-05-29","1998-07-16"
"000333","美的集团","2013-09-18","2000-04-07"
"000338","潍柴动力","2007-04-30","2002-12-23"
"000400","许继电气","1997-04-18","1993-03-15"
"000401","冀东水泥","1996-06-14","1994-05-08"
"000402","重庆华亚","1996-06-26","1996-06-18"
"000403","宜春工程","1996-06-28","1993-12-28"
"000404","华意压缩","1996-06-19","1996-06-13"
"000405","有色鑫光","1996-06-20","1992-08-10"
"000406","石油大明","1996-06-28","1993-05-08"
"000407","胜利股份","1996-07-03","1994-05-11"
"000408","河北华玉","1996-06-28","1996-06-25"
"000409","华立高科","1996-06-27","1993-04-28"
"000410","沈阳机床","1996-07-18","1993-05-20"
"000411","凯地丝绸","1996-07-16","1993-04-01"
"000412","北方五环","1996-07-15","1993-06-28"
"000413","宝石A","1996-09-25","1992-12-26"
"000415","汇通水利","1996-07-16","1993-06-30"
"000416","青岛国货","1996-07-19","1993-06-12"
