"Symbol","ListedDate","ReturnRate"
"000001","1991-04-03","0.225000"
"000002","1991-01-29","13.580000"
"000003","1991-07-03","-0.370000"
"000004","1991-01-14","14.980000"
"000005","1990-12-10","0.803000"
"000006","1992-04-27","2.850000"
"000007","1992-04-13","23.300000"
"000008","1992-05-07","1.065000"
"000009","1991-06-25","0.433333"
"000010","1995-10-27","13.080000"
"000011","1992-03-30","2.055556"
"000012","1992-02-28","2.106509"
"000013","1992-05-06","5.642857"
"000014","1992-06-02","9.504202"
"000015","1992-06-25","5.133094"
"000016","1992-03-27","2.038462"
"000017","1992-03-31","2.440000"
"000018","1992-06-16","8.366667"
"000019","1992-10-12","6.690476"
"000020","1992-04-28","6.315789"
"000021","1994-02-02","0.698925"
"000022","1993-05-05","3.677419"
"000023","1993-04-29","4.435484"
"000024","1993-06-07","2.705882"
"000025","1993-06-21","1.822967"
"000026","1993-06-03","3.027778"
"000027","1993-09-03","2.600000"
"000028","1993-08-09","1.885714"
"000029","1993-09-15","1.973684"
"000030","1993-09-29","1.549451"
"000031","1993-10-08","1.648402"
"000032","1993-10-28","1.886905"
"000033","1994-01-03","0.809524"
"000034","1994-05-09","0.300000"
"000035","1994-04-08","1.628205"
"000036","1994-06-17","0.507692"
"000037","1994-07-01","0.045652"
"000038","1994-08-08","1.309783"
"000039","1994-04-08","0.529412"
"000040","1994-08-08","0.441667"
"000042","1994-09-21","1.164815"
"000043","1994-09-28","1.263636"
"000045","1994-08-15","0.610256"
"000046","1994-09-12","1.685714"
"000047","1994-10-21","1.567901"
"000048","1994-11-01","0.845833"
"000049","1995-03-20","0.755556"
"000050","1995-03-15","1.233333"
"000055","1996-04-15","0.633205"
"000056","1996-07-08","0.809623"
"000058","1996-12-26","1.457353"
"000059","1997-01-30","1.081784"
"000060","1997-01-23","1.437500"
"000061","1997-01-10","1.522673"
"000062","1997-01-30","0.918421"
"000063","1997-11-18","2.063142"
"000065","1998-06-05","3.610553"
"000066","1997-06-26","2.525836"
"000068","1997-06-11","1.381651"
"000069","1997-09-10","1.103560"
"000070","2000-05-11","2.632911"
